OBJECTID,Nome,Flg_Ativo,Status,X,Y,Flg_TransCarioca,Flg_TransBrasil,Flg_TransOeste,Flg_TransOlimpica,ChaveGeo,Data_Inc,Integra_Trem,Integra_Metro,Integra_Aeroporto
1,Santa Luzia,Sim,Implantada,679342.4694,7471499.5425,Sim,Não,Não,Não,,,Não,Não,Não
2,Maré,Sim,Implantada,680236.1565,7472379.5698,Sim,Não,Não,Não,,,Não,Não,Não
3,Cardoso de Moraes - Viúva Garcia,Sim,Implantada,678744.056,7471252.0929,Sim,Não,Não,Não,,,Não,Não,Não
4,Penha I,Sim,Implantada,676833.5642,7473029.3037,Sim,Não,Não,Não,,,Não,Não,Não
5,Penha II,Sim,Implantada,676873.5062,7472976.5159,Sim,Não,Não,Não,,,Não,Não,Não
6,Pastor José Santos,Sim,Implantada,676190.5946,7473311.0143,Sim,Não,Não,Não,,,Não,Não,Não
7,Guaporé,Sim,Implantada,675532.0252,7473471.5235,Sim,Não,Não,Não,PL5D9Z57,,Não,Não,Não
8,Praça do Carmo,Sim,Implantada,674988.3298,7473355.5286,Sim,Não,Não,Não,,,Não,Não,Não
9,Pedro Taques,Sim,Implantada,674611.7594,7473064.8038,Sim,Não,Não,Não,65YCHW27,,Não,Não,Não
10,Vila Kosmos - Nossa Senhora do Carmo,Sim,Implantada,673654.1417,7472161.2863,Sim,Não,Não,Não,PTOCRGT6,,Não,Não,Não
11,Vicente de Carvalho,Sim,Implantada,673149.3342,7471836.7754,Sim,Não,Não,Não,,,Não,Sim,Não
12,Marambaia,Sim,Implantada,672368.9065,7471812.6004,Sim,Não,Não,Não,E2FCK6R6,,Não,Não,Não
13,Vaz Lobo,Sim,Implantada,671548.7094,7471424.5497,Sim,Não,Não,Não,FC8CM2O6,,Não,Não,Não
14,Vila Queiroz,Sim,Implantada,671336.5613,7470886.1255,Sim,Não,Não,Não,397CO2K6,,Não,Não,Não
15,Otaviano,Sim,Implantada,670920.1446,7470408.1547,Sim,Não,Não,Não,4Y3CIMG6,,Não,Não,Não
16,Santa Efigênia,Sim,Implantada,667002.8565,7462616.7949,Sim,Não,Não,Não,,,Não,Não,Não
17,Divina Providência,Sim,Implantada,666915.8421,7462170.4725,Sim,Não,Não,Não,,,Não,Não,Não
18,Merck,Sim,Implantada,667001.6034,7462738.861,Sim,Não,Não,Não,,,Não,Não,Não
19,Terminal Bandeira Brasil,Sim,Implantada,666803.5236,7464012.4314,Sim,Não,Não,Não,S4LA9U45,,Não,Não,Não
20,Tanque,Sim,Implantada,668098.5115,7464924.017,Sim,Não,Não,Não,F2GBX365,,Não,Não,Não
21,Madureira-Manaceia,Sim,Implantada,670729.4584,7469130.0159,Sim,Não,Não,Não,B12CK956,,Sim,Não,Não
22,Rio II,Sim,Implantada,665676.8133,7458577.1701,Sim,Não,Não,Não,,,Não,Não,Não
23,Pedro Correia,Sim,Implantada,665031.6112,7459193.1928,Sim,Não,Não,Não,ZUPA82V3,,Não,Não,Não
24,Hospital Sarah,Sim,Implantada,666457.0827,7458550.0606,Sim,Não,Não,Não,7ZZAAAO3,,Não,Não,Não
25,Centro Metropolitano,Sim,Implantada,667584.2118,7458530.243,Sim,Não,Não,Não,79ABL4O3,,Não,Não,Não
26,Curicica,Sim,Implantada,665234.5159,7460056.1807,Sim,Não,Não,Não,CVPAR614,,Não,Não,Não
27,Praça do Bandolim,Sim,Implantada,665786.4723,7460195.8042,Sim,Não,Não,Não,,,Não,Não,Não
28,Arroio Pavuna,Sim,Implantada,666408.4262,7460556.412,Sim,Não,Não,Não,T83B1U64,,Não,Não,Não
29,Vila Sapê - IV Centenário,Sim,Implantada,666690.3031,7460880.3159,Sim,Não,Não,Não,755B3G94,,Não,Não,Não
30,Recanto das Palmeiras - Jardim São Luiz,Sim,Implantada,666923.8079,7461334.6512,Sim,Não,Não,Não,XX5BPMB4,,Não,Não,Não
31,Andre Rocha,Sim,Implantada,666845.2945,7463418.5011,Sim,Não,Não,Não,HWXAWSL4,,Não,Não,Não
32,Taquara,Sim,Implantada,666804.0446,7464001.1081,Sim,Não,Não,Não,S4LA9U45,,Não,Não,Não
33,Aracy Cabral,Sim,Implantada,667381.3771,7464439.0353,Sim,Não,Não,Não,JKCBFU35,,Não,Não,Não
34,Terminal Mestre Candeia,Sim,Implantada,668106.756,7464937.0167,Sim,Não,Não,Não,F2GBX365,,Não,Não,Não
35,Ipase,Sim,Implantada,668550.6613,7466132.3282,Sim,Não,Não,Não,ZUKBPGI5,,Não,Não,Não
36,Praça Seca,Sim,Implantada,669052.2098,7466902.913,Sim,Não,Não,Não,,,Não,Não,Não
37,Capitão Menezes,Sim,Implantada,669428.8869,7467443.1399,Sim,Não,Não,Não,,,Não,Não,Não
38,Pinto Teles,Sim,Implantada,669720.4656,7467929.1109,Sim,Não,Não,Não,9PSB9CU5,,Não,Não,Não
39,Apóstolo Samuel Joaquim,Sim,Implantada,670129.928,7468602.2304,Sim,Não,Não,Não,5YVBHFZ5,,Não,Não,Não
40,Terminal Paulo da Portela,Sim,Implantada,670721.7874,7469116.8522,Sim,Não,Não,Não,B12CK956,,Não,Não,Não
41,Mercadão,Sim,Implantada,670776.9484,7469876.8256,Sim,Não,Não,Não,,,Não,Não,Não
42,Ibiapina,Sim,Implantada,677308.3931,7472937.286,Sim,Não,Não,Não,,,Sim,Não,Não
43,Olaria - Cacique de Ramos,Sim,Implantada,678018.4898,7472237.6761,Sim,Não,Não,Não,,,Não,Não,Não
44,Terminal Fundão - Aroldo Melodia,Sim,Implantada,680639.5657,7473179.8781,Sim,Não,Não,Não,,,Não,Não,Não
45,Via Parque,Sim,Implantada,667570.5911,7457367.1485,Sim,Não,Não,Não,DEBBDZD3,,Não,Não,Não
46,Aeroporto de Jacarepaguá,Sim,Implantada,667550.791,7456808.7301,Sim,Não,Não,Não,,,Não,Não,Não
47,Lourenço Jorge,Sim,Implantada,667535.8977,7456079.0799,Sim,Não,Não,Não,,,Não,Não,Não
48,Tom Jobim 1,Sim,Implantada,679502.5562,7476357.8081,Sim,Não,Não,Não,,,Não,Não,Sim
49,Tom Jobim 2,Sim,Implantada,680019.0118,7475997.8294,Sim,Não,Não,Não,,,Não,Não,Sim
50,Terminal Alvorada,Sim,Implantada,667503.4512,7455546.597,Sim,Não,Sim,Não,,,Não,Não,Não
51,Cesarão II,Sim,Implantada,637247.0653,7463270.6287,Não,Não,Sim,Não,,,Não,Não,Não
52,Cesarão III,Sim,Implantada,637727.3478,7463455.2311,Não,Não,Sim,Não,,,Não,Não,Não
53,Vila Paciência,Sim,Implantada,638087.5565,7463822.5644,Não,Não,Sim,Não,,,Não,Não,Não
54,Três Pontes,Sim,Implantada,638483.8907,7464145.4011,Não,Não,Sim,Não,,,Não,Não,Não
55,Cesarinho,Sim,Implantada,639148.985,7464691.2346,Não,Não,Sim,Não,,,Não,Não,Não
56,31 de Outubro,Sim,Implantada,639611.5726,7464933.1322,Não,Não,Sim,Não,,,Não,Não,Não
57,Santa Eugênia,Sim,Implantada,640254.7159,7465085.2967,Não,Não,Sim,Não,,,Sim,Não,Não
58,Júlia Miguel,Sim,Implantada,640750.2068,7465210.6361,Não,Não,Sim,Não,,,Não,Não,Não
59,Parque São Paulo,Sim,Implantada,641323.1236,7465134.089,Não,Não,Sim,Não,,,Não,Não,Não
60,Icurana,Sim,Implantada,643020.1764,7465244.565,Não,Não,Sim,Não,,,Não,Não,Não
61,Vilar Carioca,Sim,Implantada,643487.5501,7465342.6929,Não,Não,Sim,Não,,,Não,Não,Não
62,Inhoaíba,Sim,Implantada,644070.3965,7465434.8176,Não,Não,Sim,Não,,,Não,Não,Não
63,Golfe Olímpico,Sim,Implantada,662778.8355,7455640.2223,Não,Não,Sim,Não,,,Não,Não,Não
65,Ana Gonzaga,Sim,Implantada,644674.4701,7465648.462,Não,Não,Sim,Não,,,Não,Não,Não
66,São Jorge,Sim,Implantada,645246.0738,7465696.3482,Não,Não,Sim,Não,,,Não,Não,Não
67,Pina Rangel,Sim,Implantada,646112.0026,7466058.5567,Não,Não,Sim,Não,,,Não,Não,Não
68,Parque Esperança,Sim,Implantada,646536.0498,7466121.1072,Não,Não,Sim,Não,,,Não,Não,Não
69,Cândido Magalhães,Sim,Implantada,647320.7627,7466032.7958,Não,Não,Sim,Não,,,Não,Não,Não
70,Prefeito Alim Pedro,Sim,Implantada,647092.9889,7466475.8203,Não,Não,Sim,Não,,,Não,Não,Não
71,Gramado,Sim,Implantada,647090.1188,7466479.2758,Não,Não,Sim,Não,,,Não,Não,Não
