Bairros,Total anual,Média diária
Saúde,-,-
Gamboa,-,-
Santo Cristo,-,-
Caju,-,-
Centro, 35 873,98
Lapa,-,-
Catumbi,-,-
Rio Comprido,-,-
Cidade Nova,-,-
Estácio,-,-
São Cristóvão, 7 804,21
Mangueira,-,-
Benfica , 1 156,3
Vasco da Gama,-,-
Paquetá,-,-
Santa Teresa,-,-
Flamengo,-,-
Glória,-,-
Laranjeiras,-,-
Catete,-,-
Cosme Velho,-,-
Botafogo,-,-
Humaitá,-,-
Urca,-,-
Leme,-,-
Copacabana,-,-
Ipanema,-,-
Leblon,-,-
Lagoa,-,-
Jardim Botânico,-,-
Gávea,-,-
Vidigal,-,-
São Conrado,-,-
Rocinha,-,-
Praça da Bandeira, 1 167,3
Tijuca,-,-
Alto da Boa Vista,-,-
Maracanã, 3 224,9
Vila Isabel,-,-
Andaraí,-,-
Grajaú,-,-
Manguinhos,668,2
Bonsucesso, 1 816,5
Ramos,819,2
Olaria,937,3
Maré,-,-
Jacaré,-,-
São Francisco Xavier,732,2
Rocha,-,-
Riachuelo, 1 160,3
Sampaio,505,1
Engenho Novo, 1 172,3
Lins de Vasconcelos,-,-
Méier, 4 097,11
Todos os Santos,-,-
Cachambi,-,-
Engenho de Dentro, 3 179,9
Água Santa,-,-
Encantado,-,-
Piedade,901,2
Abolição,-,-
Pilares,235,1
Jacarezinho,71,-
Vila Cosmos,-,-
Vicente de Carvalho,-,-
Vila da Penha,-,-
Vista Alegre,-,-
Irajá,-,-
Colégio,-,-
Campinho,-,-
Quintino Bocaiúva,784,2
Cavalcanti,125,-
Engenheiro Leal,-,-
Cascadura, 1 096,3
Madureira, 10 455,29
Vaz Lobo,-,-
Turiaçu,-,-
Rocha Miranda,135,-
Honório Gurgel,160,-
Oswaldo Cruz,899,2
Bento Ribeiro,937,3
Marechal Hermes, 1 607,4
Higienópolis,-,-
Maria da Graça,-,-
Del Castilho,163,-
Inhaúma,-,-
Engenho da Rainha,-,-
Tomás Coelho,161,-
Complexo do Alemão,-,-
Penha, 1 113,3
Penha Circular,774,2
Brás de Pina,378,1
Cordovil,462,1
Parada de Lucas,614,2
Vigário Geral,382,1
Jardim América,-,-
Guadalupe,-,-
Anchieta,822,2
Parque Anchieta,-,-
Ricardo de Albuquerque, 1 236,3
Coelho Neto,-,-
Acari,-,-
Barros Filho,133,-
Costa Barros,102,-
Pavuna,543,1
Parque Colúmbia,-,-
Ribeira,-,-
Zumbi,-,-
Cacuia,-,-
Pitangueiras,-,-
Praia da Bandeira,-,-
Cocotá,-,-
Bancários,-,-
Freguesia,-,-
Jardim Guanabara,-,-
Jardim Carioca,-,-
Tauá,-,-
Moneró,-,-
Portuguesa,-,-
Galeão,-,-
Cidade Universitária,-,-
Jacarepaguá,-,-
Anil,-,-
Gardênia Azul,-,-
Curicica,-,-
Freguesia (Jacarepaguá),-,-
Pechincha,-,-
Taquara ,-,-
Tanque ,-,-
Praça Seca,-,-
Vila Valqueire,-,-
Cidade de Deus ,-,-
Joá,-,-
Itanhangá,-,-
Barra da Tijuca,-,-
Camorim,-,-
Vargem Pequena,-,-
Vargem Grande,-,-
Recreio dos Bandeirantes,-,-
Grumari,-,-
Padre Miguel, 1 017,3
Bangu, 4 813,13
Senador Camará, 1 107,3
Gericinó,-,-
Deodoro, 1 975,5
Vila Militar,289,1
Campo dos Afonsos,-,-
Jardim Sulacap,-,-
Magalhães Bastos,957,3
Realengo, 1 441,4
Santíssimo,890,2
Campo Grande, 5 938,16
Senador Vasconcelos,636,2
Inhoaíba, 1 508,4
Cosmos, 1 015,3
Paciência, 1 895,5
Santa Cruz, 4 169,11
Sepetiba,-,-
Guaratiba,-,-
Barra de Guaratiba,-,-
Pedra de Guaratiba,-,-
