Material;Texto breve material
4000010;ALCACHOFRA 300MG
4000013;ANTI-SEPTICO ANESTESICO
4000014;ASSEPTCARE SOL
4000015;ASSEPTCARE SOL
4000016;BENATUX FRAMBOESA
4000017;BENATUX MENTA
4000019;BIO-C 1G
4000020;BIO-C ZINCO
4000030;ATROVENT 0,025%
4000031;BEROTEC 100MCG
4000032;BEROTEC GTS
4000038;ACHEFLAN AERO
4000039;ACHEFLAN CR
4000040;ACHEFLAN CR
4000041;ADINOS GEL/CR
4000042;ADINOS GEN
4000043;ADIPEPT 20MG
4000044;ADIPEPT 40MG
4000045;ALLESTRA 20
4000046;ALLESTRA 30
4000047;ALENIA 6/100MCG
4000049;ALENIA 6/200MCG
4000050;ALENIA 12/400MCG
4000051;ARTROLIVE 30CAPS
4000052;ARTROSIL 160MG
4000053;ARTROSIL 160MG
4000054;ARTROSIL 320MG
4000055;ARTROSIL 320MG
4000056;BETADINE 16MG
4000057;BIOFENAC 50MG
4000058;BIOFENAC 50MG
4000059;BIOFENAC CLR
4000060;BRAVAN 160MG
4000061;BRAVAN 320MG
4000062;BRONDILAT XPE
4000063;BRONDILAT XPE
4000064;CANDICORT CR
4000065;CANDICORT POM
4000066;CEFALIV 12CPR
4000067;CEFALIUM C/12CP
4000068;CLOPIN 75MG
4000069;COLPISTATIN CREME
4000070;COMBIRON FOLICO
4000071;COMBIRON GTS
4000072;COMBIRON SOL
4000073;DECADRON 4MG
4000074;DECADRON ELIXIR
4000075;DECADRON INJETÃVEL
4000076;DECADRON SOL
4000077;DECADRON SOL
4000079;DIOSMIN C/30CP
4000080;DIOSMIN C/60CP
4000081;DIOSMIN SDU
4000082;DIOSMIN SDU
4000083;DUO DECADRON
4000086;ESALERG XPE
4000087;FEMINA 21CPR
4000088;FEMME FOLICO
4000089;FENTIZOL CR
4000090;FENTIZOL CR
4000091;FENTIZOL OVULO
4000092;FISIOTON 400MG
4000093;FLOGO ROSA
4000094;GLICOLIVE 1500MG
4000095;LABEL LIQ
4000096;LEUCOGEN XPE
4000097;LEVOID 100MG
4000098;LEVOID 112MCG
4000099;LEVOID 125MG
4000100;LEVOID 25MG
4000101;LEVOID 50MG
4000102;LEVOID 75MG
4000103;LEVOID 88MCG
4000104;LIBERAFLUX XPE
4000105;MERITOR 2/1000MG
4000106;MERITOR 4/1000MG
4000107;MIONEVRIX 20CPR
4000108;MIRTAX 5
4000109;MIRTAX 5
4000110;MIRTAX 10
4000111;MIRTAX 10MG
4000112;MONTELAIR 10MG
4000113;MONTELAIR 4MGx30CP
4000114;NISULID 12CPR
4000115;NISULID DISPERSIVEL
4000116;NISULID GTS
4000117;NOTUSS TSS
4000118;NOTUSS TSS
4000119;NOVACORT CR
4000120;NOVACORT CR
4000121;NOVACORT POM
4000122;NOVAMOX 2X
4000123;NOVAMOX 2X
4000124;NOVAMOX 2X
4000125;NOVAMOX 2X
4000126;NOVOCILIN 250MG
4000127;NOVOCILIN 400MG
4000128;NOVOCILIN 500MG
4000129;NOVOCILIN 875MG
4000130;PARASIN SUSP
4000131;PRELONE 11MG
4000132;PRELONE 20MG
4000133;PRELONE 3MG
4000134;PRELONE 5MG
4000135;PRELONE 5MG
4000136;SORINE SOL
4000137;TANDRILAX 15CPR
4000138;TANDRILAX 30CPR
4000139;VERTIX 10MG
4000140;VERTIZINE D
4000141;AAS INF
4000142;AAS INF
4000143;AAS INF
4000144;ALLEGRA 120MG
4000145;ALLEGRA 180MG
4000146;ALLEGRA 60MG
4000147;ALLEGRA D
4000148;ALLEGRA SUSP
4000149;ALLEGRA SUSP
4000150;ATURGYL AD
4000151;BI PROFENID
4000152;BUCLINA 25MG
4000156;COLTRAX 4MG
4000157;DEPURA 1000
4000158;DEPURA 2000
4000159;DEPURA 7000UI
4000160;DACTIL OB
4000161;ENTEROGERMINA 05FRA
4000162;FENERGAN 20MG
4000163;FENERGAN 25MG
4000164;FENERGAN EXPECT
4000165;FENERGAN EXPECT
4000166;FLAGYL NIST
4000167;FLAGYL 250MG
4000168;FLAGYL 400MG
4000169;HEXOMEDINE COLUTORIO
4000170;LASIX 40MG
4000171;LOPROX SOL
4000172;LOPROX CR
4000173;PEPSAMAR 230MG
4000174;PLASIL 10MG
4000176;PROFENID 50MG
4000177;PROFENID ENT
4000178;PROFENID GTS
4000179;PROFENID RET
4000186;RIFALDIN 300MG
4000187;RIFOCINA SPRAY
4000188;SECNIDAL 1000MG
4000189;DIPROSPAN HYPAK
4000190;DIPROSPAN INJ
4000191;GINGILONE POM
4000192;MACRODANTINA 100MG
4000193;MAXSULID 400MG
4000195;PREDSIM 20MG
4000196;PREDSIM 40MG
4000197;PREDSIM 5MG
4000198;PREDSIM 5MG
4000199;PREDSIM GTS
4000200;PREDSIM PED
4000201;PREDSIM PED
4000203;CELESTAMINE XPE
4000207;CELESTONE 4MG
4000212;DIPROSONE CREME
4000214;DIPROSONE POMADA
4000215;MIOFLEX-A C/12CP
4000216;ASTRO 500MG
4000217;ASTRO 500MG
4000218;ASTRO 500MG
4000219;ASTRO 600MG
4000220;ASTRO 900MG
4000221;CREVAGIM CREM
4000222;DEJAVU 50MG
4000223;DEJAVU 50MG
4000224;DEXALGEN INJ
4000225;DUOMO 2MG
4000226;DUOMO HP
4000227;EBASTEL 10MG
4000228;EBASTEL XPE
4000229;MELOCOX 15MG
4000230;MUSCULARE 10MG
4000231;MUSCULARE 10MG
4000232;MUSCULARE 5MG
4000233;NOEX 100MCG
4000234;NOEX 32MCG
4000235;NOEX 50MCG
4000236;NOEX 64MCG
4000237;PANTOCAL 20MG
4000238;PANTOCAL 40MG
4000239;PRIMERATRINTA 30MCG
4000240;PRIMERAVINTE 20MCG
4000241;PROFLAM 1,5
4000242;PROFLAM 100MG
4000243;SINOT 400
4000244;SINOT CLAV
4000245;SINOT CLAV
4000246;TADA 20MG
4000247;TROK CREME
4000248;TROK CREME
4000249;TROK POM
4000250;TROK POM
4000251;TROK-N CREME
4000252;TROK-N CREME
4000253;VARTAZ 160G
4000254;VARTAZ 320G
4000257;SYNTHROID 25MCG
4000258;SYNTHROID 75MCG
4000259;SYNTHROID 100MCG
4000260;SYNTHROID 112MCG
4000261;SYNTHROID 125MCG
4000262;SYNTHROID 137MCG
4000263;SYNTHROID 150MCG
4000264;SYNTHROID 175MCG
4000265;SYNTHROID 200MCG
4000266;SYNTHROID 50MCG
4000267;SYNTHROID 88MCG
4000268;COBAVITAL 1MG/4MG
4000269;LIPIDIL 160MG
4000270;LIPIDIL 200MG
4000271;IRUXOL MONO
4000272;IRUXOL COLAGENASE
4000273;KLARICID PED
4000274;KLARICID PED
4000275;KLARICID UD
4000276;RITMONORM 300MG
4000278;VIBRAL 1,5MG/ML
4000279;VIBRAL 30MG/ML
4000280;VIBRAL XPE
4000281;AZORGA 6ML
4000282;CLENS-100 GTS
4000283;OPTI-FREE REPLENISH
4000284;OPTI-FREE EXPRESS
4000285;CERUMIN SOL
4000286;CILODEX POM
