Escritório de vendas|Fornecedor|Material|Data|Valor Liquido
101|Vivo|131318             RECARGA VIRTUAL VIVO R$ 1,00|02.01.2020|20.0
101|Vivo|131318             RECARGA VIRTUAL VIVO R$ 1,00|30.12.2019|10.0
101|Vivo|131318             RECARGA VIRTUAL VIVO R$ 1,00|04.01.2020|20.0
101|Vivo|131318             RECARGA VIRTUAL VIVO R$ 1,00|02.01.2020|10.0
101|Vivo|131318             RECARGA VIRTUAL VIVO R$ 1,00|03.01.2020|25.0
101|Vivo|131318             RECARGA VIRTUAL VIVO R$ 1,00|31.12.2019|20.0
101|Vivo|131318             RECARGA VIRTUAL VIVO R$ 1,00|03.01.2020|15.0
101|Vivo|131318             RECARGA VIRTUAL VIVO R$ 1,00|31.12.2019|35.0
101|Vivo|131318             RECARGA VIRTUAL VIVO R$ 1,00|03.01.2020|7.0
101|Vivo|131318             RECARGA VIRTUAL VIVO R$ 1,00|04.01.2020|7.0
101|Vivo|131318             RECARGA VIRTUAL VIVO R$ 1,00|02.01.2020|70.0
101|Vivo|131318             RECARGA VIRTUAL VIVO R$ 1,00|03.01.2020|15.0
101|Vivo|131318             RECARGA VIRTUAL VIVO R$ 1,00|02.01.2020|10.0
101|Vivo|131318             RECARGA VIRTUAL VIVO R$ 1,00|30.12.2019|10.0
101|Vivo|131318             RECARGA VIRTUAL VIVO R$ 1,00|30.12.2019|365.0
101|Vivo|131318             RECARGA VIRTUAL VIVO R$ 1,00|31.12.2019|331.0
101|Vivo|131318             RECARGA VIRTUAL VIVO R$ 1,00|02.01.2020|401.0
101|Vivo|131318             RECARGA VIRTUAL VIVO R$ 1,00|03.01.2020|345.0
101|Vivo|131318             RECARGA VIRTUAL VIVO R$ 1,00|04.01.2020|275.0
101|Vivo|131318             RECARGA VIRTUAL VIVO R$ 1,00|31.12.2019|48.0
101|Vivo|131318             RECARGA VIRTUAL VIVO R$ 1,00|02.01.2020|25.0
101|Vivo|131318             RECARGA VIRTUAL VIVO R$ 1,00|30.12.2019|30.0
101|Vivo|131318             RECARGA VIRTUAL VIVO R$ 1,00|30.12.2019|12.0
101|Vivo|131318             RECARGA VIRTUAL VIVO R$ 1,00|31.12.2019|30.0
101|Vivo|131318             RECARGA VIRTUAL VIVO R$ 1,00|30.12.2019|15.0
101|Vivo|131318             RECARGA VIRTUAL VIVO R$ 1,00|31.12.2019|30.0
101|Vivo|131318             RECARGA VIRTUAL VIVO R$ 1,00|03.01.2020|15.0
101|Vivo|131318             RECARGA VIRTUAL VIVO R$ 1,00|31.12.2019|15.0
101|Vivo|131318             RECARGA VIRTUAL VIVO R$ 1,00|02.01.2020|15.0
101|Vivo|131318             RECARGA VIRTUAL VIVO R$ 1,00|03.01.2020|15.0
101|Vivo|131318             RECARGA VIRTUAL VIVO R$ 1,00|02.01.2020|40.0
101|Vivo|131318             RECARGA VIRTUAL VIVO R$ 1,00|30.12.2019|20.0
101|Vivo|131318             RECARGA VIRTUAL VIVO R$ 1,00|02.01.2020|15.0
101|Vivo|131318             RECARGA VIRTUAL VIVO R$ 1,00|31.12.2019|30.0
101|Vivo|131318             RECARGA VIRTUAL VIVO R$ 1,00|04.01.2020|12.0
