30.04.2020                                                               Saída dinâmica de lista                                                                       1
------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Cod. fornecedor|Material|Qtd.pedido|Texto breve|Qtd.estoque
3593|4003232.0|120|FLUCANIL 150MG|12
3593|4005091.0|60|BETRICORT CREME|6
3593|4003225.0|51|COLIRIO GEOLAB|5
3593|4003251.0|60|MIZONOL CREME|6
3593|4001716.0|20|GINO-COLON TUBO|2
3593|4003222.0|30|CISTEIL XPE|3
3593|4003270.0|30|TYLALGIN 750MG|3
3593|4003022.0|30|ALBEL MAST|3
3593|4001102.0|30|GINO-MINOZOL CREME|3
3593|4003281.0|20|VITAZINC EFERV|2
3593|4003271.0|20|TYLALGIN CAF|2
3593|4003211.0|30|ARARTAN 50MG|3
3593|4003250.0|24|MIRACALCIO VIT-D|2
3593|4003255.0|30|OCUTIL SOL|3
3593|4003259.0|20|POLTAX 50MG|2
3593|4003260.0|20|POLTAX FLAN|2
3593|4005258.0|30|LOSARTANA POTASSICA|3
3593|4001044.0|20|TRINODAZOL GELEIA|2
3593|4001722.0|60|MAXIVIEW SUSP|6
3593|4001730.0|60|PREDOPTIC SOL|6
3593|4001119.0|96|MULTIGRIP CX20CP|9
3593|4001713.0|30|FORMYN 850MG|3
3593|4001712.0|30|FORMYN 500MG|3
3593|4002870.0|20|LORATADINA XPE|2
3593|4002025.0|24|ISOTRETINOINA 10MG|2
4239|4003811.0|30|DIUPRESS 25MG|3
4239|4004122.0|10|ROXETIN 20MG|1
4239|4002169.0|10|AMYTRIL 25MG|1
4239|4002178.0|10|RISPERIDON 3MG|1
10337|6000979.0|150|CR TRATAMENTO|15
3593|4004641.0|478|METAMUCIL NATURAL|47
4239|4003530.0|1|DORIL ENXAQUECA|0
4239|4000927.0|1|FLOGORAL CEREJA|0
4239|4003954.0|2|MIRUGELL SOL|0
11760|6000425.0|1|PICOLE PALITO|0
11760|6000425.0|1|PICOLE PALITO|0
4916|4005289.0|100|STARFOR C|10
4916|4001795.0|108|RESFENOL LIQUIDO|10
4916|4004124.0|8|STILGRIP GRANULADO|0
4916|4004150.0|150|BRONQTRAT INF|15
4916|4001064.0|200|BUSCOPLEX COMPOSTO|20
4916|4003565.0|150|MATHERLLY GEST|15
4916|4000933.0|150|BROMELIN PROPOLIS|15
4916|4000934.0|150|BROMELIN SUS|15
4916|4000924.0|144|FIGATIL C/150ML|14
4916|4000010.0|150|ALCACHOFRA 300MG|15
4916|4005264.0|150|MAXALGINA XPE|15
4916|4006286.0|150|VITAMINA D|15
4916|4002910.0|150|HIDRAPLEX PO|15
4916|4005630.0|150|HISTAMIX 10MG|15
4239|4000696.0|120|SALONPAS PAIN|12
3593|4006336.0|50|PROTECT D|5
3593|4006335.0|50|PROTECT D|5
3593|4006334.0|50|PROTECT 62,5MG|5
3593|4006321.0|50|DRENISON LOÇAO|5
3593|4006320.0|50|DRENISON 0,125MG/G|5
3593|4002553.0|2|SUAVICID CREME|0
3593|4000965.0|1|DESLORANA 5MG|0
3593|4000943.0|1|AH-ZUL 50MG|0
3593|4005222.0|60|CELERG XPE|6
3593|4005495.0|60|LOSARTANA 50MG|6
3593|4005228.0|100|COLIRIO LEGRAND|10
3593|4000977.0|120|EXPEC XPE|12
3593|4002568.0|50|ONCILEG POMADA|5
3593|4003004.0|50|CELOCORT CREME|5
3593|4001727.0|56|ONCILEG A|5
3593|4003576.0|60|DORICAL C/50CP|6
3593|4002630.0|50|INFLALID GTS|5
3593|4005223.0|60|CENEVIT 1G|6
3593|4005252.0|60|IBUFLEX 400MG|6
4916|4001448.0|120|NEOSORO SOL|12
4916|4005270.0|65|NITAZOXANIDA 500MG|6
4916|4002863.0|50|VALSARTANA 160MG|5
4916|4002759.0|50|LINCOMICINA 600MG|5
4916|4002743.0|60|NIMESULIDA 100MG|6
4916|4003331.0|50|HECLIVIR 200MG|5
4916|4005268.0|30|NEOLEFRIN C/20CP|3
4916|4003384.0|50|TERMOPIRONA 1G|5
4916|4001129.0|60|NEOLEFRIN XPE|6
4916|4001230.0|100|CLOBETASOL CREME|10
4916|4002817.0|60|DICLOFENACO SODICO|6
4916|4001356.0|60|AMBROXOL ADT|6
4916|4001122.0|60|NEO BRASIL|6
4916|4002765.0|12|ORLISTATE 120MG|1
4916|4001373.0|50|LORATADINA 1MG/ML|5
