;material;qtd_loja;qtd_vendas;porcentagem;status
2800;4004641;525;0;1.2;alerta
1188;4001448;462;17;27.18;alerta
877;4001064;440;3;146.67;alerta
2929;4005270;401;1;401.0;alerta
3579;4006391;330;0;1.2;alerta
858;4001040;330;20;16.5;alerta
1007;4001230;330;1;330.0;alerta
2170;4003232;330;4;82.5;alerta
2947;4005289;330;11;30.0;alerta
776;4000924;316;0;1.2;alerta
2100;4002910;297;0;1.2;alerta
784;4000933;275;0;1.2;alerta
2923;4005264;275;1;275.0;alerta
3094;4005630;275;0;1.2;alerta
2625;4004150;275;1;275.0;alerta
2289;4003565;275;1;275.0;alerta
0;4000010;275;0;1.2;alerta
785;4000934;275;0;1.2;alerta
1417;4001752;266;0;1.2;alerta
830;4000995;266;0;1.2;alerta
925;4001129;264;6;44.0;alerta
1117;4001357;264;4;66.0;alerta
1128;4001371;264;0;1.2;alerta
1428;4001765;264;21;12.57;alerta
597;4000696;264;1;264.0;alerta
1730;4002291;264;1;264.0;alerta
1416;4001751;264;14;18.86;alerta
3263;4005871;242;0;1.2;alerta
3272;4005880;242;0;1.2;alerta
3273;4005881;242;0;1.2;alerta
1442;4001795;236;1;236.0;alerta
2164;4003225;221;2;110.5;alerta
1149;4001398;220;0;1.2;alerta
1009;4001232;220;0;1.2;alerta
3429;4006200;220;0;1.2;alerta
2952;4005294;220;11;20.0;alerta
1044;4001268;220;6;36.67;alerta
2778;4004566;220;0;1.2;alerta
2510;4003894;220;1;220.0;alerta
1733;4002295;220;0;1.2;alerta
2037;4002771;220;0;1.2;alerta
927;4001132;220;0;1.2;alerta
1937;4002596;217;30;7.23;alerta
1418;4001753;198;0;1.2;alerta
2073;4002859;198;2;99.0;alerta
2028;4002755;198;0;1.2;alerta
2054;4002817;198;0;1.2;alerta
2055;4002819;198;0;1.2;alerta
919;4001122;198;0;1.2;alerta
807;4000964;198;9;22.0;alerta
2058;4002826;198;3;66.0;alerta
3430;4006201;198;0;1.2;alerta
3451;4006222;198;0;1.2;alerta
1429;4001766;198;0;1.2;alerta
2078;4002864;198;0;1.2;alerta
2184;4003251;198;3;66.0;alerta
2226;4003338;198;1;198.0;alerta
2228;4003340;198;1;198.0;alerta
2858;4005091;198;2;99.0;alerta
1130;4001373;187;0;1.2;alerta
3271;4005879;187;0;1.2;alerta
1383;4001706;184;46;4.0;alerta
725;4000865;180;5;36.0;alerta
1728;4002289;176;0;1.2;alerta
1869;4002517;176;1;176.0;alerta
2345;4003654;176;1;176.0;alerta
3440;4006211;169;1;169.0;alerta
3441;4006212;169;0;1.2;alerta
2031;4002759;165;0;1.2;alerta
2221;4003331;165;0;1.2;alerta
2152;4003211;165;0;1.2;alerta
2076;4002862;165;0;1.2;alerta
1863;4002507;165;12;13.75;alerta
769;4000916;165;16;10.31;alerta
4358;6000979;165;0;1.2;alerta
2149;4003022;165;0;1.2;alerta
2201;4003270;165;0;1.2;alerta
2077;4002863;165;0;1.2;alerta
2062;4002833;165;1;165.0;alerta
903;4001102;165;0;1.2;alerta
3508;4006286;165;0;1.2;alerta
2917;4005258;165;0;1.2;alerta
1410;4001745;165;0;1.2;alerta
2188;4003255;165;0;1.2;alerta
2240;4003384;165;0;1.2;alerta
728;4000869;162;0;1.2;alerta
