,col1,col2,col3,col4
12,#,Atleta ou Técnico – Player or Coach,Clube - Club,Intermediário - Intermediary
13,1.,Abel Carlos da Silva Braga,Internacional - RS,7 Braga Sports - Agenciamentos
15,2.,Abel Mathias Hernandez Platero,Internacional - RS,Oscar Carmelo Bentancourt Pineiro
16,3.,Abimael Pereira Maia,Palmeiras - SP,Golden7 Soccer Eireli
17,4.,Abner Miguel dos Santos,Aster Brasil F. C. - SP,Stadia Sports Agenciamento E
19,5.,Abner Vinicius da Silva Santos,Athletico Paranaense -,Adm Esporte Futebol E Agenciamento
21,6.,Abner Vinicius do Nascimento Custodio,Fluminense - RJ,Hw Sports Management Eireli
22,7.,Abraao Silvio da Anunciacao Brito,Bahia - BA,Antoniu S Assessoria Esportiva Ltda
24,8.,Adailson Freire Pereira da Silva,Náutico - PE,Nilson Simplicio Assessoria Esportiva
26,9.,Ademir da Silva Santos Junior,America - MG,As Assessoria Empresarial Ltda
27,10.,Ademir da Silva Santos Junior,America - MG,As Assessoria Empresarial Ltda
28,11.,Aderlan de Lima Silva,Red Bull Bragantino - SP,Blb Sports Investimento E Marketing
30,12.,Adilson dos Anjos Oliveira,America - MG,Prado Sports Intermediacao de
32,13.,Adilson dos Anjos Oliveira,America - MG,Prado Sports Intermediacao de
34,14.,Adrian dos Santos,Grêmio - RS,Luiz Paulo Chignall de Moraes E Cia
37,15.,Adriano Babeki Lussivica,Fluminense - RJ,Brazilsport Assessoria Desportiva Ltda
38,16.,Adriel Vasconcelos Ramos,Grêmio - RS,Magnitude Brazil Esportes Ltda
39,17.,Adryan Victor da Silva Cunha,Sport - PE,Tiago Guadagno Geraldo - Me
40,18.,Adson Ferreira Soares,Corinthians - SP,Golden7 Soccer Eireli
41,19.,Airton Moises Santos Sousa,Cruzeiro - MG,Arf Assessoria Esportiva Ltda
42,20.,Airton Moraes Michellon,America - MG,Time Sports Ltda Me
43,21.,Alam Daniel Garcete Velazquez,Grêmio - RS,Prattes Planejamento E Gestao
45,22.,Alan Cassio da Cruz,Vila Nova - GO,Nilson Simplicio Assessoria Esportiva
47,23.,Alan Cassio da Cruz,Vila Nova - GO,Nilson Simplicio Assessoria Esportiva
49,24.,Alan Ferreira de Amorim,Corinthians - SP,Luis Augusto Carvalho Consultoria
50,25.,Alan Pedro Sena de Oliveira,Vitória - BA,Imagem Soccer Agenciamento Ltda
51,26.,Alan Pedro Sena de Oliveira,ABC - RN,Imagem Soccer Agenciamento Ltda
52,27.,Alan Rodrigues Uchoa,Ceará - CE,Joao Victor Carneiro
53,28.,Alan Rodrigues Uchoa,Ceará - CE,Joao Victor Carneiro
54,29.,Alan Santos da Silva,Chapecoense - SC,Lipatin Sports Ltda
55,30.,Alan Santos da Silva,Chapecoense - SC,Lipatin Sports Ltda
56,31.,Alan Steven Franco Palma,Atlético - MG,M J F Publicidade E Promocoes Ltda
57,32.,Alcides de Paula Pereira,Juventude - RS,Goldplay Assessoria Esportiva Ltda
58,33.,Aldemir dos Santos Ferreira,Grêmio - RS,Pablo Bueno de Freitas Agenciamento
61,34.,Alec Wesley Gama de Oliveira Guedes,Coritiba - PR,Byanka Damaso A. Barros - Me
62,35.,Alesandro dos Santos Pereira,Figueirense - SC,Lct Soccer Ltda
63,36.,Alessandro Rodrigues Furtado,Juventude - RS,Gabriel Orlandini Spessato
64,37.,Alex de Oliveira Nascimento,Santos - SP,International Sports Consultoria
65,38.,Alex Nascimento Fernandes,Santos - SP,Websoccer do Brasil Promocao de
67,39.,Alex Nascimento Fernandes,Santos - SP,Websoccer do Brasil Promocao de
69,40.,Alexandre Chagas Pereira dos Santos,Sport - PE,Professional Talents Assessoria
71,41.,Alexandre de Jesus Jeruzalem Junior,Fluminense - RJ,Fmage Assessoria Esportiva S/a
72,42.,Alexandre dos Santos Saldanha,7 de Abril - RJ,Oeste Rio Eventos Ltda
73,43.,Alexandre Egea,America - MG,Pro Futebol Assessoria Administrativa
75,44.,Alexandre Egea,America - MG,Pro Futebol Assessoria Administrativa
77,45.,Alexandre Fintelman de Mello Ribeiro,Vasco da Gama - RJ,Galax Sports Agenciamento Esportivo
78,,da Silva,,Ltda
79,46.,Alexsander Cristhian Gomes da Costa,Fluminense - RJ,Ftboll Careers Management Ltda
80,47.,Alison Calegari,Grêmio - RS,Nws Esportes Ltda - Me
81,48.,Alisson Dakawazerekwa Xerente,Atlético - GO,Danilo Rodrigues Martinho
82,49.,Alisson Machado dos Santos,Criciúma - SC,Efraim Bittencourte Mendonça - Me
83,50.,Allan Victor Oliveira Mota,Santos - SP,Gold Sports Assessoria E Gestão
85,51.,Allan Vitor Silva de Barros,Vasco da Gama - RJ,Rivorelli Assessoria E Propaganda
87,52.,Allison Patrick Oliveira de Souza,Internacional - RS,Nws Esportes Ltda - Me
88,53.,Álvaro Nobrega de Oliveira,Fluminense - RJ,Fuse Sport Maneger Assessoria E
90,54.,Alyson Vinicius Almeida Neves,Juventude - RS,Caran Sports Marketing Esportivo Eireli
91,55.,Alysson Alexandre Barbosa da Silva,Retrô - PE,Shirley Cassia Oliveira Alves Figueiredo
92,56.,Amanda Gutierres dos Santos,Santos - SP,R W M Martins Assessoria Esportiva
94,57.,Anderson Aparecido Salles,Ferroviária - SP,Ivan Rocha Limas
95,58.,Anderson de Jesus Santos,America - MG,Rec Sports Assessoria Esportiva - Eireli
96,59.,Anderson de Jesus Santos,America - MG,Rec Sports Assessoria Esportiva - Eireli
97,60.,Anderson de Jesus Santos,America - MG,Rec Sports Assessoria Esportiva - Eireli
98,61.,Anderson Indalencio da Rosa,Ferroviária - SP,M9 Sports Gestão Em Futebol Ltda
99,62.,Anderson Leite Morais,Chapecoense - SC,Lipatin Sports Ltda
100,63.,Anderson Leonardo da Silva Chaves,Corinthians - SP,Lct Soccer Ltda
101,64.,Anderson Luis de Carvalho,Fluminense - RJ,Jrc Servicos Profissionais E Comerciais
103,65.,Anderson Nascimento Costa,São José - MA,Nm Representacoes Ltda
104,66.,Anderson Silva da Paixão,Náutico - PE,J D Sports Management Assessoria
106,67.,Anderson Sousa de Carvalho,Paraná - PR,Rinaldi E Veloso Agenciamento E
108,68.,Andre da Silva Lima,Atlético - GO,Think Ball E Sports Consulting Ltda
109,69.,Andre Farias Rosa,Carajás - PA,Cm Sports Agenciamento E
111,70.,Andre Felipe de Almeida Santos,Artsul Futebol Clube,Pgb Gestão Esportiva Ltda
