data,regiao,casosNovos
2020-02-25,Brasil,0
2020-02-25,Centro-Oeste,0
2020-02-25,Nordeste,0
2020-02-25,Norte,0
2020-02-25,Sudeste,0
2020-02-25,Sul,0
2020-02-26,Brasil,1
2020-02-26,Centro-Oeste,0
2020-02-26,Nordeste,0
2020-02-26,Norte,0
2020-02-26,Sudeste,1
2020-02-26,Sul,0
2020-02-27,Brasil,0
2020-02-27,Centro-Oeste,0
2020-02-27,Nordeste,0
2020-02-27,Norte,0
2020-02-27,Sudeste,0
2020-02-27,Sul,0
2020-02-28,Brasil,0
2020-02-28,Centro-Oeste,0
2020-02-28,Nordeste,0
2020-02-28,Norte,0
2020-02-28,Sudeste,0
2020-02-28,Sul,0
2020-02-29,Brasil,1
2020-02-29,Centro-Oeste,0
2020-02-29,Nordeste,0
2020-02-29,Norte,0
2020-02-29,Sudeste,1
2020-02-29,Sul,0
2020-03-01,Brasil,0
2020-03-01,Centro-Oeste,0
2020-03-01,Nordeste,0
2020-03-01,Norte,0
2020-03-01,Sudeste,0
2020-03-01,Sul,0
2020-03-02,Brasil,0
2020-03-02,Centro-Oeste,0
2020-03-02,Nordeste,0
2020-03-02,Norte,0
2020-03-02,Sudeste,0
2020-03-02,Sul,0
2020-03-03,Brasil,0
2020-03-03,Centro-Oeste,0
2020-03-03,Nordeste,0
2020-03-03,Norte,0
2020-03-03,Sudeste,0
2020-03-03,Sul,0
2020-03-04,Brasil,1
2020-03-04,Centro-Oeste,0
2020-03-04,Nordeste,0
2020-03-04,Norte,0
2020-03-04,Sudeste,1
2020-03-04,Sul,0
2020-03-05,Brasil,4
2020-03-05,Centro-Oeste,0
2020-03-05,Nordeste,0
2020-03-05,Norte,0
2020-03-05,Sudeste,4
2020-03-05,Sul,0
2020-03-06,Brasil,6
2020-03-06,Centro-Oeste,0
2020-03-06,Nordeste,1
2020-03-06,Norte,0
2020-03-06,Sudeste,5
2020-03-06,Sul,0
2020-03-07,Brasil,6
2020-03-07,Centro-Oeste,1
2020-03-07,Nordeste,1
2020-03-07,Norte,0
2020-03-07,Sudeste,4
2020-03-07,Sul,0
2020-03-08,Brasil,6
2020-03-08,Centro-Oeste,0
2020-03-08,Nordeste,1
2020-03-08,Norte,0
2020-03-08,Sudeste,5
2020-03-08,Sul,0
2020-03-09,Brasil,0
2020-03-09,Centro-Oeste,0
2020-03-09,Nordeste,0
2020-03-09,Norte,0
2020-03-09,Sudeste,0
2020-03-09,Sul,0
2020-03-10,Brasil,9
2020-03-10,Centro-Oeste,0
2020-03-10,Nordeste,0
2020-03-10,Norte,0
2020-03-10,Sudeste,8
2020-03-10,Sul,1
2020-03-11,Brasil,18
2020-03-11,Centro-Oeste,1
2020-03-11,Nordeste,0
2020-03-11,Norte,0
2020-03-11,Sudeste,16
2020-03-11,Sul,1
2020-03-12,Brasil,25
2020-03-12,Centro-Oeste,0
2020-03-12,Nordeste,2
2020-03-12,Norte,0
2020-03-12,Sudeste,15
2020-03-12,Sul,8
2020-03-13,Brasil,21
2020-03-13,Centro-Oeste,3
2020-03-13,Nordeste,1
2020-03-13,Norte,0
2020-03-13,Sudeste,15
2020-03-13,Sul,2
2020-03-14,Brasil,23
2020-03-14,Centro-Oeste,4
2020-03-14,Nordeste,0
2020-03-14,Norte,0
2020-03-14,Sudeste,15
2020-03-14,Sul,4
2020-03-15,Brasil,79
2020-03-15,Centro-Oeste,2
2020-03-15,Nordeste,1
2020-03-15,Norte,1
2020-03-15,Sudeste,73
2020-03-15,Sul,2
2020-03-16,Brasil,34
2020-03-16,Centro-Oeste,7
2020-03-16,Nordeste,0
2020-03-16,Norte,0
2020-03-16,Sudeste,26
2020-03-16,Sul,1
2020-03-17,Brasil,57
2020-03-17,Centro-Oeste,14
2020-03-17,Nordeste,23
2020-03-17,Norte,0
2020-03-17,Sudeste,16
2020-03-17,Sul,4
2020-03-18,Brasil,137
2020-03-18,Centro-Oeste,9
2020-03-18,Nordeste,5
2020-03-18,Norte,0
2020-03-18,Sudeste,104
2020-03-18,Sul,19
2020-03-19,Brasil,193
2020-03-19,Centro-Oeste,20
2020-03-19,Nordeste,55
2020-03-19,Norte,7
2020-03-19,Sudeste,82
