data,regiao,casosAcumulado
2020-02-26,Brasil,1
2020-02-26,Sudeste,1
2020-02-27,Brasil,1
2020-02-27,Sudeste,1
2020-02-28,Brasil,1
2020-02-28,Sudeste,1
2020-02-29,Brasil,2
2020-02-29,Sudeste,2
2020-03-01,Brasil,2
2020-03-01,Sudeste,2
2020-03-02,Brasil,2
2020-03-02,Sudeste,2
2020-03-03,Brasil,2
2020-03-03,Sudeste,2
2020-03-04,Brasil,3
2020-03-04,Sudeste,3
2020-03-05,Brasil,7
2020-03-05,Sudeste,7
2020-03-06,Brasil,13
2020-03-06,Nordeste,1
2020-03-06,Sudeste,12
2020-03-07,Brasil,19
2020-03-07,Centro-Oeste,1
2020-03-07,Nordeste,2
2020-03-07,Sudeste,16
2020-03-08,Brasil,25
2020-03-08,Centro-Oeste,1
2020-03-08,Nordeste,3
2020-03-08,Sudeste,21
2020-03-09,Brasil,25
2020-03-09,Centro-Oeste,1
2020-03-09,Nordeste,3
2020-03-09,Sudeste,21
2020-03-10,Brasil,34
2020-03-10,Centro-Oeste,1
2020-03-10,Nordeste,3
2020-03-10,Sudeste,29
2020-03-10,Sul,1
2020-03-11,Brasil,52
2020-03-11,Centro-Oeste,2
2020-03-11,Nordeste,3
2020-03-11,Sudeste,45
2020-03-11,Sul,2
2020-03-12,Brasil,77
2020-03-12,Centro-Oeste,2
2020-03-12,Nordeste,5
2020-03-12,Sudeste,60
2020-03-12,Sul,10
2020-03-13,Brasil,98
2020-03-13,Centro-Oeste,5
2020-03-13,Nordeste,6
2020-03-13,Sudeste,75
2020-03-13,Sul,12
2020-03-14,Brasil,121
2020-03-14,Centro-Oeste,9
2020-03-14,Nordeste,6
2020-03-14,Sudeste,90
2020-03-14,Sul,16
2020-03-15,Brasil,200
2020-03-15,Centro-Oeste,11
2020-03-15,Nordeste,7
2020-03-15,Norte,1
2020-03-15,Sudeste,163
2020-03-15,Sul,18
2020-03-16,Brasil,234
2020-03-16,Centro-Oeste,18
2020-03-16,Nordeste,7
2020-03-16,Norte,1
2020-03-16,Sudeste,189
2020-03-16,Sul,19
2020-03-17,Brasil,291
2020-03-17,Centro-Oeste,32
2020-03-17,Nordeste,30
2020-03-17,Norte,1
2020-03-17,Sudeste,205
2020-03-17,Sul,23
2020-03-18,Brasil,428
2020-03-18,Centro-Oeste,41
2020-03-18,Nordeste,35
2020-03-18,Norte,1
2020-03-18,Sudeste,309
2020-03-18,Sul,42
2020-03-19,Brasil,621
2020-03-19,Centro-Oeste,61
2020-03-19,Nordeste,90
2020-03-19,Norte,8
2020-03-19,Sudeste,391
2020-03-19,Sul,71
2020-03-20,Brasil,904
2020-03-20,Centro-Oeste,112
2020-03-20,Nordeste,134
2020-03-20,Norte,15
2020-03-20,Sudeste,553
2020-03-20,Sul,90
2020-03-21,Brasil,1128
2020-03-21,Centro-Oeste,138
2020-03-21,Nordeste,168
2020-03-21,Norte,26
2020-03-21,Sudeste,642
2020-03-21,Sul,154
2020-03-22,Brasil,1546
2020-03-22,Centro-Oeste,161
2020-03-22,Nordeste,231
2020-03-22,Norte,49
2020-03-22,Sudeste,926
2020-03-22,Sul,179
2020-03-23,Brasil,1891
2020-03-23,Centro-Oeste,179
2020-03-23,Nordeste,308
2020-03-23,Norte,59
2020-03-23,Sudeste,1135
2020-03-23,Sul,210
2020-03-24,Brasil,2201
2020-03-24,Centro-Oeste,217
2020-03-24,Nordeste,354
2020-03-24,Norte,82
2020-03-24,Sudeste,1278
2020-03-24,Sul,270
2020-03-25,Brasil,2433
2020-03-25,Centro-Oeste,221
2020-03-25,Nordeste,390
2020-03-25,Norte,105
2020-03-25,Sudeste,1404
2020-03-25,Sul,313
2020-03-26,Brasil,2915
2020-03-26,Centro-Oeste,275
2020-03-26,Nordeste,457
2020-03-26,Norte,126
2020-03-26,Sudeste,1665
2020-03-26,Sul,392
2020-03-27,Brasil,3417
2020-03-27,Centro-Oeste,318
2020-03-27,Nordeste,539
2020-03-27,Norte,145
2020-03-27,Sudeste,1952
2020-03-27,Sul,463
2020-03-28,Brasil,3903
2020-03-28,Centro-Oeste,720
2020-03-28,Nordeste,1255
2020-03-28,Norte,368
2020-03-28,Sudeste,4444
2020-03-28,Sul,1028
2020-03-29,Brasil,4256
2020-03-29,Centro-Oeste,798
2020-03-29,Nordeste,1453
2020-03-29,Norte,454
2020-03-29,Sudeste,4684
2020-03-29,Sul,1136
2020-03-30,Brasil,4579
2020-03-30,Centro-Oeste,870
2020-03-30,Nordeste,1590
2020-03-30,Norte,508
2020-03-30,Sudeste,5014
2020-03-30,Sul,1186
2020-03-31,Brasil,5717
2020-03-31,Centro-Oeste,940
2020-03-31,Nordeste,1765
2020-03-31,Norte,588
2020-03-31,Sudeste,6812
2020-03-31,Sul,1356
2020-04-01,Brasil,6834
2020-04-01,Centro-Oeste,1010
2020-04-01,Nordeste,2013
2020-04-01,Norte,675
2020-04-01,Sudeste,8446
2020-04-01,Sul,1530
2020-04-02,Brasil,7910
2020-04-02,Centro-Oeste,1064
2020-04-02,Nordeste,2361
2020-04-02,Norte,754
2020-04-02,Sudeste,9976
2020-04-02,Sul,1666
2020-04-03,Brasil,9056
2020-04-03,Centro-Oeste,1188
2020-04-03,Nordeste,2837
2020-04-03,Norte,854
2020-04-03,Sudeste,11316
2020-04-03,Sul,1956
2020-04-04,Brasil,10278
2020-04-04,Centro-Oeste,1350
2020-04-04,Nordeste,3304
2020-04-04,Norte,1054
2020-04-04,Sudeste,12590
2020-04-04,Sul,2278
