"uri";"nome";"idLegislaturaInicial";"idLegislaturaFinal";"nomeCivil";"cpf";"siglaSexo";"urlRedeSocial";"urlWebsite";"dataNascimento";"dataFalecimento";"ufNascimento";"municipioNascimento"
"https://dadosabertos.camara.leg.br/api/v2/deputados/2";"LOPES GAMA";"1";"2";"Caetano Maria Lopes Gama";"";"M";"";"";"1795-08-05";"1864-06-21";"PE";"Recife"
"https://dadosabertos.camara.leg.br/api/v2/deputados/7";"CARNEIRO";"1";"1";"Francisco Carneiro de Campos";"";"M";"";"";"1776-01-01";"1842-12-08";"BA";"Salvador"
"https://dadosabertos.camara.leg.br/api/v2/deputados/8";"CALMON";"1";"4";"Miguel Calmon Du Pin e Almeida";"";"M";"";"";"1796-12-22";"1865-10-05";"BA";"Santo Amaro"
"https://dadosabertos.camara.leg.br/api/v2/deputados/9";"MONTEZUMA";"2";"8";"Francisco Gê Acayaba Montezuma";"";"M";"";"";"1794-03-23";"1870-02-15";"BA";"Salvador"
"https://dadosabertos.camara.leg.br/api/v2/deputados/10";"SILVA LISBOA";"1";"1";"José da Silva Lisboa";"";"M";"";"";"1756-07-16";"1835-08-20";"BA";"Salvador"
"https://dadosabertos.camara.leg.br/api/v2/deputados/11";"ALBUQUERQUE CAVALCANTI";"3";"4";"José Mariano de Albuquerque Cavalcanti";"";"M";"";"";"1772-05-20";"1844-08-20";"CE";""
"https://dadosabertos.camara.leg.br/api/v2/deputados/17";"CARNEIRO DA CUNHA";"2";"8";"Joaquim Manoel Carneiro da Cunha";"";"M";"";"";"1796-01-01";"1859-09-07";"";""
"https://dadosabertos.camara.leg.br/api/v2/deputados/18";"CRUZ GOUVEIA";"16";"19";"José da Cruz Gouveia";"";"M";"";"";"";"";"PB";"Areia"
"https://dadosabertos.camara.leg.br/api/v2/deputados/20";"INTENDENTE CÂMARA";"1";"1";"Manoel Ferreira da Câmara Bittencourt Aguiar e Sá";"";"M";"";"";"1762-01-01";"1835-12-13";"MG";"Itacambira"
"https://dadosabertos.camara.leg.br/api/v2/deputados/23";"MAIA";"1";"2";"José Antônio da Silva Maia";"";"M";"";"";"1789-10-06";"1853-10-03";"";""
