Bairros;Total anual;Média diária;Total anual;Média diária;Total anual;Média diária;Total anual;Média diária
Saúde;-;-;-;-;-;-;-;-
Gamboa;-;-;-;-;-;-;-;-
Santo Cristo;-;-;-;-;-;-;-;-
Caju;-;-;-;-;-;-;-;-
Centro; 72 483;  199; 40 478;  111; 66 654;  183; 35 873;  98
Lapa;-;-;-;-;-;-;-;-
Catumbi;-;-;-;-;-;-;-;-
Rio Comprido;-;-;-;-;-;-;-;-
Cidade Nova; 5 776;  16;-;-; 5 163;  14;-;-
Estácio; 3 587;  10;-;-; 2 979;  8;-;-
São Cristóvão; 4 572;  13; 8 230;  23; 4 052;  11; 7 804;  21
Mangueira;-;-;-;-;-;-;-;-
Benfica ; 2 279;  6; 1 304;  4; 1 990;  5; 1 156;  3
Vasco da Gama;-;-;-;-;-;-;-;-
Paquetá;-;-;-;-;-;-;-;-
Santa Teresa;-;-;-;-;-;-;-;-
Flamengo; 5 967;  16;-;-; 5 908;  16;-;-
Glória; 3 745;  10;-;-; 3 506;  10;-;-
Laranjeiras;-;-;-;-;-;-;-;-
Catete; 12 529;  34;-;-; 12 051;  33;-;-
Cosme Velho;-;-;-;-;-;-;-;-
Botafogo; 19 395;  53;-;-; 17 858;  49;-;-
Humaitá;-;-;-;-;-;-;-;-
Urca;-;-;-;-;-;-;-;-
Leme;-;-;-;-;-;-;-;-
Copacabana; 19 772;  54;-;-; 18 544;  51;-;-
Ipanema; 14 243;  39;-;-; 14 582;  40;-;-
Leblon;  943;  3;-;-; 4 576;  13;-;-
Lagoa;-;-;-;-;-;-;-;-
Jardim Botânico;-;-;-;-;-;-;-;-
Gávea;-;-;-;-;-;-;-;-
Vidigal;-;-;-;-;-;-;-;-
São Conrado;  652;  2;-;-; 3 299;  9;-;-
Rocinha;-;-;-;-;-;-;-;-
Praça da Bandeira;-;-; 1 333;  4;-;-; 1 167;  3
Tijuca; 24 118;  66;-;-; 22 140;  61;-;-
Alto da Boa Vista;-;-;-;-;-;-;-;-
Maracanã; 3 645;  10; 3 536;  10; 3 198;  9; 3 224;  9
Vila Isabel;-;-;-;-;-;-;-;-
Andaraí;-;-;-;-;-;-;-;-
Grajaú;-;-;-;-;-;-;-;-
Manguinhos;-;-;  716;  2;-;-;  668;  2
Bonsucesso;-;-; 2 225;  6;-;-; 1 816;  5
Ramos;-;-;  930;  3;-;-;  819;  2
Olaria;-;-; 1 096;  3;-;-;  937;  3
Maré;-;-;-;-;-;-;-;-
Jacaré;-;-;-;-;-;-;-;-
São Francisco Xavier;-;-;  837;  2;-;-;  732;  2
Rocha;-;-;-;-;-;-;-;-
Riachuelo;-;-; 1 335;  4;-;-; 1 160;  3
Sampaio;-;-;  547;  1;-;-;  505;  1
Engenho Novo;-;-; 1 294;  4;-;-; 1 172;  3
Lins de Vasconcelos;-;-;-;-;-;-;-;-
Méier;-;-; 4 492;  12;-;-; 4 097;  11
Todos os Santos;-;-;-;-;-;-;-;-
Cachambi;-;-;-;-;-;-;-;-
Engenho de Dentro;-;-; 3 447;  9;-;-; 3 179;  9
Água Santa;-;-;-;-;-;-;-;-
Encantado;-;-;-;-;-;-;-;-
Piedade;-;-; 1 058;  3;-;-;  901;  2
Abolição;-;-;-;-;-;-;-;-
Pilares;-;-;  271;  1;-;-;  235;  1
Jacarezinho;-;-;  117;  ;-;-;  71;-
Vila Cosmos;-;-;-;-;-;-;-;-
Vicente de Carvalho; 5 899;  16;-;-; 5 027;  14;-;-
Vila da Penha;-;-;-;-;-;-;-;-
Vista Alegre;-;-;-;-;-;-;-;-
Irajá; 4 072;  11;-;-; 3 872;  11;-;-
Colégio; 2 595;  7;-;-; 2 329;  6;-;-
Campinho;-;-;-;-;-;-;-;-
Quintino Bocaiúva;-;-;  916;  3;-;-;  784;  2
Cavalcanti;-;-;  175;-;-;-;  125;-
Engenheiro Leal;-;-;-;-;-;-;-;-
Cascadura;-;-;  175;  ;-;-; 1 096;  3
Madureira;-;-; 12 413;  34;-;-; 10 455;  29
Vaz Lobo;-;-;-;-;-;-;-;-
Turiaçu;-;-;-;-;-;-;-;-
Rocha Miranda;-;-;  191;  1;-;-;  135;-
Honório Gurgel;-;-;  239;  1;-;-;  160;-
Oswaldo Cruz;-;-; 1 004;  3;-;-;  899;  2
Bento Ribeiro;-;-; 1 039;  3;-;-;  937;  3
Marechal Hermes;-;-; 1 875;  5;-;-; 1 607;  4
Higienópolis;-;-;-;-;-;-;-;-
Maria da Graça; 2 868;  8;-;-; 2 571;  7;-;-
Del Castilho; 8 180;  22;  212;  1; 6 910;  19;  163;-
