Bairros;Total anual;Média diária
Saúde;-;-
Gamboa;-;-
Santo Cristo;-;-
Caju;-;-
Centro; 66 654;  183
Lapa;-;-
Catumbi;-;-
Rio Comprido;-;-
Cidade Nova; 5 163;  14
Estácio; 2 979;  8
São Cristóvão; 4 052;  11
Mangueira;-;-
Benfica ; 1 990;  5
Vasco da Gama;-;-
Paquetá;-;-
Santa Teresa;-;-
Flamengo; 5 908;  16
Glória; 3 506;  10
Laranjeiras;-;-
Catete; 12 051;  33
Cosme Velho;-;-
Botafogo; 17 858;  49
Humaitá;-;-
Urca;-;-
Leme;-;-
Copacabana; 18 544;  51
Ipanema; 14 582;  40
Leblon; 4 576;  13
Lagoa;-;-
Jardim Botânico;-;-
Gávea;-;-
Vidigal;-;-
São Conrado; 3 299;  9
Rocinha;-;-
Praça da Bandeira;-;-
Tijuca; 22 140;  61
Alto da Boa Vista;-;-
Maracanã; 3 198;  9
Vila Isabel;-;-
Andaraí;-;-
Grajaú;-;-
Manguinhos;-;-
Bonsucesso;-;-
Ramos;-;-
Olaria;-;-
Maré;-;-
Jacaré;-;-
São Francisco Xavier;-;-
Rocha;-;-
Riachuelo;-;-
Sampaio;-;-
Engenho Novo;-;-
Lins de Vasconcelos;-;-
Méier;-;-
Todos os Santos;-;-
Cachambi;-;-
Engenho de Dentro;-;-
Água Santa;-;-
Encantado;-;-
Piedade;-;-
Abolição;-;-
Pilares;-;-
Jacarezinho;-;-
Vila Cosmos;-;-
Vicente de Carvalho; 5 027;  14
Vila da Penha;-;-
Vista Alegre;-;-
Irajá; 3 872;  11
Colégio; 2 329;  6
Campinho;-;-
Quintino Bocaiúva;-;-
Cavalcanti;-;-
Engenheiro Leal;-;-
Cascadura;-;-
Madureira;-;-
Vaz Lobo;-;-
Turiaçu;-;-
Rocha Miranda;-;-
Honório Gurgel;-;-
Oswaldo Cruz;-;-
Bento Ribeiro;-;-
Marechal Hermes;-;-
Higienópolis;-;-
Maria da Graça; 2 571;  7
Del Castilho; 6 910;  19
Inhaúma; 1 926;  5
Engenho da Rainha; 1 891;  5
Tomás Coelho;  708;  2
Complexo do Alemão;-;-
Penha;-;-
Penha Circular;-;-
Brás de Pina;-;-
Cordovil;-;-
Parada de Lucas;-;-
Vigário Geral;-;-
Jardim América;-;-
Guadalupe;-;-
Anchieta;-;-
Parque Anchieta;-;-
Ricardo de Albuquerque;-;-
Coelho Neto; 4 855;  13
Acari; 1 661;  5
Barros Filho;-;-
Costa Barros;-;-
Pavuna; 15 623;  43
Parque Colúmbia;-;-
Ribeira;-;-
Zumbi;-;-
Cacuia;-;-
Pitangueiras;-;-
Praia da Bandeira;-;-
Cocotá;-;-
Bancários;-;-
Freguesia;-;-
Jardim Guanabara;-;-
Jardim Carioca;-;-
Tauá;-;-
Moneró;-;-
Portuguesa;-;-
Galeão;-;-
Cidade Universitária;-;-
Jacarepaguá;-;-
Anil;-;-
Gardênia Azul;-;-
Curicica;-;-
Freguesia (Jacarepaguá);-;-
Pechincha;-;-
Taquara ;-;-
Tanque ;-;-
Praça Seca;-;-
Vila Valqueire;-;-
Cidade de Deus ;-;-
Joá;-;-
Itanhangá;-;-
Barra da Tijuca; 10 835;  30
Camorim;-;-
Vargem Pequena;-;-
Vargem Grande;-;-
Recreio dos Bandeirantes;-;-
Grumari;-;-
Padre Miguel;-;-
Bangu;-;-
Senador Camará;-;-
Gericinó;-;-
Deodoro;-;-
Vila Militar;-;-
Campo dos Afonsos;-;-
Jardim Sulacap;-;-
Magalhães Bastos;-;-
Realengo;-;-
Santíssimo;-;-
Campo Grande;-;-
Senador Vasconcelos;-;-
Inhoaíba;-;-
Cosmos;-;-
Paciência;-;-
Santa Cruz;-;-
Sepetiba;-;-
Guaratiba;-;-
Barra de Guaratiba;-;-
Pedra de Guaratiba;-;-
