"id";"uri";"titulo";"dataCriacao";"idLegislatura";"telefone";"email";"keywords";"idSituacao";"situacao";"urlWebsite";"urlDocumento";"coordenador_id";"coordenador_uri";"coordenador_nome";"coordenador_siglaPartido";"coordenador_uriPartido";"coordenador_siglaUf";"coordenador_idLegislatura";"coordenador_urlFoto"
"53249";"https://dadosabertos.camara.leg.br/api/v2/frentes/53249";"Frente Parlamentar Mista da Habitação";"2007-06-11";"53";"3215-5569";"";"";"";"REQ 1113/07
05/06/07 - Apresentação do Requerimento, Ata, Estatuto e Apoiamento
11/06/07 - Assinaturas suficientes: 214
11/06/07 - Publicada
15/05/08 - Of. 057/08 - Comunica que novo Coordenador, Sr. Fernando Chucre.";"";"https://www.camara.leg.br/internet/deputado/Frente_Parlamentar/53249-integra.pdf""";"0";"";"Fernando Chucre";"";"";"";"53";""
"53250";"https://dadosabertos.camara.leg.br/api/v2/frentes/53250";"Frente Parlamentar em Apoio e Fortalecimento da Mídia Regional";"2007-06-14";"53";"3215-5313";"";"";"";"REQ 1131/07
06/06/07 - Apresentação do Requerimento, Ata, Estatuto e Apoiamento
14/06/07 - Assinaturas conferidas: 209
14/06/07 - Publicada
07/05/08 - OF/GAB/CV/Nº062/08 - Encaminha nova estatuto e novas adesões.
13/05/08 - OF/GAB/CV/Nº062/08 - Encaminhado para publicação.";"";"https://www.camara.leg.br/internet/deputado/Frente_Parlamentar/53250-integra.pdf""";"0";"";"Vignatti";"";"";"";"53";""
"53251";"https://dadosabertos.camara.leg.br/api/v2/frentes/53251";"Frente Parlamentar da Agricultura Familiar";"2007-06-15";"53";"3215-5802";"";"";"";"REQ 1144/07
11/06/07 - Apresentação do Requerimento, Ata, Estatuto e Apoiamento
15/06/07 - Assinaturas suficientes: 201
15/06/07 - Publicada";"";"https://www.camara.leg.br/internet/deputado/Frente_Parlamentar/53251-integra.pdf""";"0";"";"Anselmo de Jesus";"";"";"";"53";""
"53252";"https://dadosabertos.camara.leg.br/api/v2/frentes/53252";"Frente Parlamentar da Terra";"2007-08-14";"53";"3215-5474";"";"";"";"REQ 1180/07, REQ 1265/07 e REQ 1435/07
15/06/07 - Apresentação do Requerimento, Ata, Estatuto e Apoiamento
19/06/07 - Assinaturas insuficientes: 168
20/06/07 - Devolvida ao autor
04/07/07 - Reapresentação do requerimento - REQ 1265/07
05/07/07 - Assinaturas insuficientes: 172
06/07/07 - Devolvida ao autor
09/08/07 - Reapresentação do requerimento - REQ 1435/07
14/08/07 - Assinaturas suficientes: 203
14/08/07 - Publicada
18/06/08 - OF 073/08 do Dr. Rosinha, comunica que deixa a Coordenação desta Frente e passa para  Dep. Adão Pretto
17/09/09 - Of. 145/09, do Gabinete do Dr. Rosinha, comunicando que reassume a coordenação desta frente em decorrência do falecimento do Dep. Adão Pretto.";"";"https://www.camara.leg.br/internet/deputado/Frente_Parlamentar/53252-integra.pdf""";"0";"";"Dr. Rosinha";"";"";"";"53";""
"53253";"https://dadosabertos.camara.leg.br/api/v2/frentes/53253";"Frente Parlamentar de Apoio as Santas Casas de Misericórdia, Hospitais e Entidades Filantrópicas na Área da Saúde";"2007-07-10";"53";"3215-5931";"";"";"";"REQ 1202/07 e REQ 1238/07
21/06/07 - Apresentação do Requerimento, Ata, Estatuto e Apoiamento
22/06/07 - Assinaturas insuficientes: 172 Deputados e 13 Senadores
26/06/07 - Devolvida ao Autor
28/06/07 - Reapresentação do requerimento
06/07/07 - Assinaturas de Deputados: 189 Deputados
10/07/07 - Assinaturas de Senadores: 13 Senadores
10/07/07 - Publicada";"";"https://www.camara.leg.br/internet/deputado/Frente_Parlamentar/53253-integra.pdf""";"0";"";"Marcelo Ortiz";"";"";"";"53";""
"53254";"https://dadosabertos.camara.leg.br/api/v2/frentes/53254";"Frente Parlamentar pelo Fortalecimento dos Estados e Municípios Mineradores";"2007-07-05";"53";"3215-5211";"";"";"";"REQ 1237/07 - RM: 2579/07
27/06/07 - Apresentação do Requerimento, Ata, Estatuto e Apoiamento
05/07/07 - Assinaturas conferidas: 201
05/07/07 - Publicada";"";"https://www.camara.leg.br/internet/deputado/Frente_Parlamentar/53254-integra.pdf""";"0";"";"João Magalhães";"";"";"";"53";""
"53255";"https://dadosabertos.camara.leg.br/api/v2/frentes/53255";"Frente Parlamentar em Defesa da Indústria Aeronáutica Brasileira";"2007-07-11";"53";"3215-5931";"";"";"";"REQ 1272/07 - RM: 2661/07
05/07/07 - Apresentação do Requerimento, Ata, Estatuto e Apoiamento
10/07/07 - Assinaturas de Deputados: 190
11/07/07 - Assinaturas de Senadores: 15
11/07/07 - Publicada";"";"https://www.camara.leg.br/internet/deputado/Frente_Parlamentar/53255-integra.pdf""";"0";"";"Marcelo Ortiz";"";"";"";"53";""
"53257";"https://dadosabertos.camara.leg.br/api/v2/frentes/53257";"Frente Parlamentar em Defesa do Trânsito Seguro";"2007-07-11";"53";"3215-5338";"";"";"";"REQ 1308/07 - RM: 2707/07
10/07/07 - Apresentação do Requerimento, Ata, Estatuto e Apoiamento
11/07/07 - Assinaturas conferidas: 206
11/07/07 - Publicada";"";"https://www.camara.leg.br/internet/deputado/Frente_Parlamentar/53257-integra.pdf""";"0";"";"Beto Albuquerque";"";"";"";"53";""
"53258";"https://dadosabertos.camara.leg.br/api/v2/frentes/53258";"Frente Parlamentar pela Regulamentação da Profissão de Mototaxista e Motoboy";"2007-07-26";"53";"3215-5266";"";"";"";"REQ 1333/07 - RM: /07
12/07/07 - Apresentação do Requerimento, Ata, Estatuto e Apoiamento
17/07/07 - Assinaturas suficientes: 180 Deputados + 21 Senadores
26/07/07 - Publicada
21.08.07 - Daniel, do gabinete do Dep. Zé Geraldo, comunicou que a Dep. Gorete Pereira também faz parte da Frente.
17.10.07 - Entregue Ata e relação dos presentes ao lançamento da frente";"";"https://www.camara.leg.br/internet/deputado/Frente_Parlamentar/53258-integra.pdf""";"0";"";"Zé Geraldo";"";"";"";"53";""
"53259";"https://dadosabertos.camara.leg.br/api/v2/frentes/53259";"Frente Parlamentar Mista em Defesa da Vida - Contra o Aborto";"2007-08-15";"53";"3215-5626";"";"";"";"REQ 1334/07 - RM: /07
12/07/07 - Apresentação do Requerimento, Ata, Estatuto e Apoiamento
13/07/07 - Assinaturas insuficientes: 190 = 169 Deputados + 21 Senadores
13/07/07 - Devolvida ao Autor
10.08.07 - REQ 1438/07, com novas assinaturas, encaminhado ao SECAP
15/08/07 - Assinaturas suficientes: 200 = 179 Deputados + 21 Senadores
15/08/07 - Publicada";"";"https://www.camara.leg.br/internet/deputado/Frente_Parlamentar/53259-integra.pdf""";"0";"";"Luiz Bassuma";"";"";"";"53";""
