Bairros;Total anual;Média diária
Saúde;-;-
Gamboa;-;-
Santo Cristo;-;-
Caju;-;-
Centro; 72 483;  199
Lapa;-;-
Catumbi;-;-
Rio Comprido;-;-
Cidade Nova; 5 776;  16
Estácio; 3 587;  10
São Cristóvão; 4 572;  13
Mangueira;-;-
Benfica ; 2 279;  6
Vasco da Gama;-;-
Paquetá;-;-
Santa Teresa;-;-
Flamengo; 5 967;  16
Glória; 3 745;  10
Laranjeiras;-;-
Catete; 12 529;  34
Cosme Velho;-;-
Botafogo; 19 395;  53
Humaitá;-;-
Urca;-;-
Leme;-;-
Copacabana; 19 772;  54
Ipanema; 14 243;  39
Leblon;  943;  3
Lagoa;-;-
Jardim Botânico;-;-
Gávea;-;-
Vidigal;-;-
São Conrado;  652;  2
Rocinha;-;-
Praça da Bandeira;-;-
Tijuca; 24 118;  66
Alto da Boa Vista;-;-
Maracanã; 3 645;  10
Vila Isabel;-;-
Andaraí;-;-
Grajaú;-;-
Manguinhos;-;-
Bonsucesso;-;-
Ramos;-;-
Olaria;-;-
Maré;-;-
Jacaré;-;-
São Francisco Xavier;-;-
Rocha;-;-
Riachuelo;-;-
Sampaio;-;-
Engenho Novo;-;-
Lins de Vasconcelos;-;-
Méier;-;-
Todos os Santos;-;-
Cachambi;-;-
Engenho de Dentro;-;-
Água Santa;-;-
Encantado;-;-
Piedade;-;-
Abolição;-;-
Pilares;-;-
Jacarezinho;-;-
Vila Cosmos;-;-
Vicente de Carvalho; 5 899;  16
Vila da Penha;-;-
Vista Alegre;-;-
Irajá; 4 072;  11
Colégio; 2 595;  7
Campinho;-;-
Quintino Bocaiúva;-;-
Cavalcanti;-;-
Engenheiro Leal;-;-
Cascadura;-;-
Madureira;-;-
Vaz Lobo;-;-
Turiaçu;-;-
Rocha Miranda;-;-
Honório Gurgel;-;-
Oswaldo Cruz;-;-
Bento Ribeiro;-;-
Marechal Hermes;-;-
Higienópolis;-;-
Maria da Graça; 2 868;  8
Del Castilho; 8 180;  22
Inhaúma; 2 178;  6
Engenho da Rainha; 2 055;  6
Tomás Coelho;  779;  2
Complexo do Alemão;-;-
Penha;-;-
Penha Circular;-;-
Brás de Pina;-;-
Cordovil;-;-
Parada de Lucas;-;-
Vigário Geral;-;-
Jardim América;-;-
Guadalupe;-;-
Anchieta;-;-
Parque Anchieta;-;-
Ricardo de Albuquerque;-;-
Coelho Neto; 5 087;  14
Acari; 1 761;  5
Barros Filho;-;-
Costa Barros;-;-
Pavuna; 17 380;  48
Parque Colúmbia;-;-
Ribeira;-;-
Zumbi;-;-
Cacuia;-;-
Pitangueiras;-;-
Praia da Bandeira;-;-
Cocotá;-;-
Bancários;-;-
Freguesia;-;-
Jardim Guanabara;-;-
Jardim Carioca;-;-
Tauá;-;-
Moneró;-;-
Portuguesa;-;-
Galeão;-;-
Cidade Universitária;-;-
Jacarepaguá;-;-
Anil;-;-
Gardênia Azul;-;-
Curicica;-;-
Freguesia (Jacarepaguá);-;-
Pechincha;-;-
Taquara ;-;-
Tanque ;-;-
Praça Seca;-;-
Vila Valqueire;-;-
Cidade de Deus ;-;-
Joá;-;-
Itanhangá;-;-
Barra da Tijuca; 2 798;  8
Camorim;-;-
Vargem Pequena;-;-
Vargem Grande;-;-
Recreio dos Bandeirantes;-;-
Grumari;-;-
Padre Miguel;-;-
Bangu;-;-
Senador Camará;-;-
Gericinó;-;-
Deodoro;-;-
Vila Militar;-;-
Campo dos Afonsos;-;-
Jardim Sulacap;-;-
Magalhães Bastos;-;-
Realengo;-;-
Santíssimo;-;-
Campo Grande;-;-
Senador Vasconcelos;-;-
Inhoaíba;-;-
Cosmos;-;-
Paciência;-;-
Santa Cruz;-;-
Sepetiba;-;-
Guaratiba;-;-
Barra de Guaratiba;-;-
Pedra de Guaratiba;-;-
